from,starting label,QID,label,depth,target
Q104530765,Hugo Nathan,Q49757,poet,5,0
Q1634926,Hugo Cassirer,Q1970746,Explanatory Dictionary of the Living Great Russian Language,5,0
Q867510,Cypresses,Q1970746,Explanatory Dictionary of the Living Great Russian Language,4,0
Q324935,Ferenc Hatvany,Q1970746,Explanatory Dictionary of the Living Great Russian Language,4,0
Q74128,Alfred Flechtheim,Q1970746,Explanatory Dictionary of the Living Great Russian Language,4,0
Q11770767,Still life with coffee pot  dishes and fruit,Q49757,poet,2,0
Q214867,National Gallery of Art,Q49757,poet,3,0
Q1634926,Hugo Cassirer,Q3059832,Eugène Druet,4,1
Q74128,Alfred Flechtheim,Q49757,poet,5,0
Q657415,Cleveland Museum of Art,Q49757,poet,3,0
Q5147536,Josef Feinhals,Q82955,politician,5,0
Q3783572,Harvard Art Museums,Q48968006,encyclopedia.com,5,0
Q160236,Metropolitan Museum of Art,Q21032589,Encyclopedia of Modern Christian Politics (2006 ed.),5,0
Q1634926,Hugo Cassirer,Q867541,Encyclopædia Britannica 11th edition,5,0
Q214867,National Gallery of Art,Q867541,Encyclopædia Britannica 11th edition,5,0
Q74128,Alfred Flechtheim,Q867541,Encyclopædia Britannica 11th edition,5,0
Q657415,Cleveland Museum of Art,Q867541,Encyclopædia Britannica 11th edition,3,0
Q160236,Metropolitan Museum of Art,Q455,Encyclopædia Britannica,4,0
Q74128,Alfred Flechtheim,Q455,Encyclopædia Britannica,5,0
Q160236,Metropolitan Museum of Art,Q42603,priest,4,0
Q160236,Metropolitan Museum of Art,Q42857,prophet,4,0
Q74128,Alfred Flechtheim,Q42857,prophet,5,0
Q160236,Metropolitan Museum of Art,Q3411287,pyramid of bois de Vincennes,5,0
Q657415,Cleveland Museum of Art,Q98959841,Reclaimed. Paintings from the Collection of Jacques Goudstikker,3,1
Q17277888,Gottlieb Friedrich Reber,Q1397808,resistance fighter,4,0
Q867510,Cypresses,Q27096203,Saint John the Baptist,4,1
Q104530765,Hugo Nathan,Q27096203,Saint John the Baptist,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q27096203,Saint John the Baptist,2,1
Q74128,Alfred Flechtheim,Q27096203,Saint John the Baptist,3,1
Q160236,Metropolitan Museum of Art,Q2251335,schoolteacher,4,0
Q1634926,Hugo Cassirer,Q177220,singer,5,0
Q160236,Metropolitan Museum of Art,Q177220,singer,3,0
Q657415,Cleveland Museum of Art,Q512314,socialite,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q67138112,Dolly Perls,4,1
Q74128,Alfred Flechtheim,Q67138112,Dolly Perls,3,1
Q160236,Metropolitan Museum of Art,Q1210353,Dictionnaire Infernal,5,0
Q160236,Metropolitan Museum of Art,Q105802405,Dictionary of Women Worldwide,4,0
Q17277888,Gottlieb Friedrich Reber,Q379406,Dictionary of Swedish National Biography,3,0
Q160236,Metropolitan Museum of Art,Q379406,Dictionary of Swedish National Biography,5,0
Q214867,National Gallery of Art,Q379406,Dictionary of Swedish National Biography,5,0
Q160236,Metropolitan Museum of Art,Q16014697,"Dictionary of National Biography, second supplement",4,0
Q74128,Alfred Flechtheim,Q16014697,"Dictionary of National Biography, second supplement",5,0
Q160236,Metropolitan Museum of Art,Q16014700,"Dictionary of National Biography, first supplement",4,0
Q160236,Metropolitan Museum of Art,Q15987216,"Dictionary of National Biography, 1885–1900",3,0
Q1634926,Hugo Cassirer,Q46002746,Dictionary of African Biography,3,0
Q160236,Metropolitan Museum of Art,Q63284758,Desktop Encyclopedic Dictionary,3,0
Q55680361,Oskar Reichel,Q4991371,soldier,5,0
Q3783572,Harvard Art Museums,Q7557389,Soldiers Field Soccer Stadium,2,0
Q1634926,Hugo Cassirer,Q19905413,Spring Flowers,5,0
Q26221201,Two Diggers among Trees,Q50807788,Spring Flowers,4,0
Q214867,National Gallery of Art,Q19905413,Spring Flowers,5,0
Q160236,Metropolitan Museum of Art,Q3451370,Square in Argenteuil,5,0
Q214867,National Gallery of Art,Q3451370,Square in Argenteuil,5,0
Q17277888,Gottlieb Friedrich Reber,Q2259451,stage actor,3,0
Q55680361,Oskar Reichel,Q372436,statesperson,5,0
Q74128,Alfred Flechtheim,Q372436,statesperson,5,0
Q160236,Metropolitan Museum of Art,Q3873319,Still life,5,0
Q214867,National Gallery of Art,Q3873319,Still life,5,0
Q324935,Ferenc Hatvany,Q20178788,Still Life with Apples,1,1
Q160236,Metropolitan Museum of Art,Q4239850,Concise Literary Encyclopedia,5,0
Q1634926,Hugo Cassirer,Q78662681,Composition of Red and White: Nom 1/Composition No....,3,1
Q55680361,Oskar Reichel,Q24022779,Still Life: Potatoes in a Yellow Dish,5,1
Q11770767,Still life with coffee pot  dishes and fruit,Q28146931,Street in Saintes-Maries,2,1
Q1634926,Hugo Cassirer,Q73357989,Survey of GLAM open access policy and practice,5,0
Q867510,Cypresses,Q73357989,Survey of GLAM open access policy and practice,4,0
Q303139,Belvedere,Q73357989,Survey of GLAM open access policy and practice,1,0
Q104530765,Hugo Nathan,Q73357989,Survey of GLAM open access policy and practice,5,0
Q262234,Lenbachhaus,Q73357989,Survey of GLAM open access policy and practice,1,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q73357989,Survey of GLAM open access policy and practice,2,0
Q17277888,Gottlieb Friedrich Reber,Q73357989,Survey of GLAM open access policy and practice,4,0
Q55680361,Oskar Reichel,Q73357989,Survey of GLAM open access policy and practice,5,0
Q214867,National Gallery of Art,Q73357989,Survey of GLAM open access policy and practice,1,0
Q74128,Alfred Flechtheim,Q73357989,Survey of GLAM open access policy and practice,3,0
Q657415,Cleveland Museum of Art,Q73357989,Survey of GLAM open access policy and practice,1,0
Q104530765,Hugo Nathan,Q1766280,Svensk uppslagsbok,5,0
Q160236,Metropolitan Museum of Art,Q1766280,Svensk uppslagsbok,4,0
Q104530765,Hugo Nathan,Q250867,Catholic priest,5,0
Q214867,National Gallery of Art,Q302556,Catholic Encyclopedia,5,0
Q74128,Alfred Flechtheim,Q302556,Catholic Encyclopedia,5,0
Q657415,Cleveland Museum of Art,Q302556,Catholic Encyclopedia,3,0
Q104530765,Hugo Nathan,Q25393460,Catholic deacon,5,0
Q214867,National Gallery of Art,Q1766280,Svensk uppslagsbok,5,0
Q17277888,Gottlieb Friedrich Reber,Q10685690,Svenskt konstnärslexikon,4,0
Q17277888,Gottlieb Friedrich Reber,Q50395049,Svenskt kvinnobiografiskt lexikon,3,0
Q160236,Metropolitan Museum of Art,Q50395049,Svenskt kvinnobiografiskt lexikon,5,0
Q214867,National Gallery of Art,Q50395049,Svenskt kvinnobiografiskt lexikon,5,0
Q867510,Cypresses,Q1039808,Carl Montag,5,1
Q104530765,Hugo Nathan,Q1039808,Carl Montag,5,1
Q160236,Metropolitan Museum of Art,Q1039808,Carl Montag,5,1
Q867510,Cypresses,Q3658608,caricaturist,5,0
Q29441758,Margarete Mauthner,Q3658608,caricaturist,5,0
Q5147536,Josef Feinhals,Q3658608,caricaturist,2,0
Q21948567,Sunflowers,Q907660,Canon of Dutch History,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q907660,Canon of Dutch History,5,0
Q867510,Cypresses,Q108829905,Bruno Paul : the life and work of a pragmatic modernist,5,1
Q5147536,Josef Feinhals,Q108829905,Bruno Paul : the life and work of a pragmatic modernist,2,1
Q1634926,Hugo Cassirer,Q91618,Bruno Cassirer,4,1
Q156426,Alexej von Jawlensky,Q602358,Brockhaus and Efron Encyclopedic Dictionary,3,0
Q1634926,Hugo Cassirer,Q602358,Brockhaus and Efron Encyclopedic Dictionary,5,0
Q867510,Cypresses,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q104530765,Hugo Nathan,Q602358,Brockhaus and Efron Encyclopedic Dictionary,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q602358,Brockhaus and Efron Encyclopedic Dictionary,5,0
Q17277888,Gottlieb Friedrich Reber,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q29441758,Margarete Mauthner,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q324935,Ferenc Hatvany,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q160236,Metropolitan Museum of Art,Q602358,Brockhaus and Efron Encyclopedic Dictionary,3,0
Q3783572,Harvard Art Museums,Q602358,Brockhaus and Efron Encyclopedic Dictionary,5,0
Q1201549,Detroit Institute of Arts,Q602358,Brockhaus and Efron Encyclopedic Dictionary,3,0
Q26221184,Olive Picking,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q214867,National Gallery of Art,Q602358,Brockhaus and Efron Encyclopedic Dictionary,3,0
Q74128,Alfred Flechtheim,Q602358,Brockhaus and Efron Encyclopedic Dictionary,4,0
Q657415,Cleveland Museum of Art,Q602358,Brockhaus and Efron Encyclopedic Dictionary,3,0
Q69860245,Mór Lipót Herzog,Q3518553,a parcel of property land,2,0
Q867510,Cypresses,Q7720110,The Brierwood Pipe,4,0
Q104530765,Hugo Nathan,Q7720110,The Brierwood Pipe,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q7720110,The Brierwood Pipe,2,0
Q1634926,Hugo Cassirer,Q19820423,The Church in Moret after the Rain,5,0
Q160236,Metropolitan Museum of Art,Q665807,Biographisches Lexikon des Kaiserthums Oesterreich,3,0
Q214867,National Gallery of Art,Q665807,Biographisches Lexikon des Kaiserthums Oesterreich,3,0
Q214867,National Gallery of Art,Q19135478,,5,0
Q1634926,Hugo Cassirer,Q98281053,biografiA: Lexikon österreichischer Frauen,4,0
Q17277888,Gottlieb Friedrich Reber,Q98281053,biografiA: Lexikon österreichischer Frauen,5,0
Q657415,Cleveland Museum of Art,Q98281053,biografiA: Lexikon österreichischer Frauen,5,0
Q29441758,Margarete Mauthner,Q58488719,Billy Ireland Cartoon Library & Museum biographical files,5,1
Q160236,Metropolitan Museum of Art,Q3639582,Biblioteca Europea di Informazione e Cultura,4,0
Q1634926,Hugo Cassirer,Q4086271,Bible Encyclopedia of Archimandrite Nicephorus,5,0
Q160236,Metropolitan Museum of Art,Q4086271,Bible Encyclopedia of Archimandrite Nicephorus,3,0
Q74128,Alfred Flechtheim,Q4086271,Bible Encyclopedia of Archimandrite Nicephorus,4,0
Q160236,Metropolitan Museum of Art,Q7044697,"Betty de Rothschild, Baronne James de Rothschild",5,1
Q867510,Cypresses,Q45320214,Beteiligte Privatpersonen und Körperschaften am NS-Kulturgutraub,5,1
Q17277888,Gottlieb Friedrich Reber,Q45320214,Beteiligte Privatpersonen und Körperschaften am NS-Kulturgutraub,2,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q94764626,Bertha Flechtheim,2,1
Q55680361,Oskar Reichel,Q94764626,Bertha Flechtheim,5,1
Q26221197,Two Peasant Women Digging in Field with Snow,Q94839745,Bernhard Koehler,1,1
Q160236,Metropolitan Museum of Art,Q1524643,Belleville funicular tramway,5,0
Q26221197,Two Peasant Women Digging in Field with Snow,Q52086999,The Little Yellow Horses (Die kleinen gelben Pferde),2,1
Q17277888,Gottlieb Friedrich Reber,Q20267585,The Rape of Europa,5,0
Q160236,Metropolitan Museum of Art,Q18891157,The Scream,5,1
Q160236,Metropolitan Museum of Art,Q117474,Arthur Stoll,4,1
Q160236,Metropolitan Museum of Art,Q4799609,Arthur M. Sackler,5,1
Q214867,National Gallery of Art,Q17391638,art theorist,5,0
Q1634926,Hugo Cassirer,Q1630100,art model,5,0
Q160236,Metropolitan Museum of Art,Q1630100,art model,4,0
Q867510,Cypresses,Q30335959,Art Looting Investigation Unit,4,1
Q1634926,Hugo Cassirer,Q326503,The Sleepers,5,1
Q160236,Metropolitan Museum of Art,Q220859,Arnolfini Portrait,5,0
Q1634926,Hugo Cassirer,Q28790437,Armor of Emperor Ferdinand I,5,0
Q160236,Metropolitan Museum of Art,Q28790437,Armor of Emperor Ferdinand I,1,0
Q214867,National Gallery of Art,Q28790437,Armor of Emperor Ferdinand I,5,0
Q1634926,Hugo Cassirer,Q2657718,Armenian Soviet Encyclopedia,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q2657718,Armenian Soviet Encyclopedia,3,0
Q74128,Alfred Flechtheim,Q2657718,Armenian Soviet Encyclopedia,2,0
Q160236,Metropolitan Museum of Art,Q2478141,aristocrat,3,0
Q17277888,Gottlieb Friedrich Reber,Q42973,architect,4,0
Q5147536,Josef Feinhals,Q42973,architect,2,0
Q1634926,Hugo Cassirer,Q39013,The Woman in the Waves,5,0
Q160236,Metropolitan Museum of Art,Q79077,Archduchess Eleanor of Austria,5,0
Q160236,Metropolitan Museum of Art,Q64436,Arc de Triomphe,5,0
Q17277888,Gottlieb Friedrich Reber,Q12912667,Appletons' Cyclopædia of American Biography,5,0
Q160236,Metropolitan Museum of Art,Q12912667,Appletons' Cyclopædia of American Biography,3,0
Q214867,National Gallery of Art,Q39013,The Woman in the Waves,5,0
Q74128,Alfred Flechtheim,Q106787730,American Women Writers,5,0
Q657415,Cleveland Museum of Art,Q106787730,American Women Writers,3,0
Q160236,Metropolitan Museum of Art,Q15709188,View of Volterra,5,0
Q160236,Metropolitan Museum of Art,Q15709185,View of Volterra,5,0
Q214867,National Gallery of Art,Q15709188,View of Volterra,5,0
Q214867,National Gallery of Art,Q15709185,View of Volterra,5,0
Q867510,Cypresses,Q2837972,Allez France,5,0
Q160236,Metropolitan Museum of Art,Q2837972,Allez France,4,0
Q26221201,Two Diggers among Trees,Q2837972,Allez France,5,0
Q1634926,Hugo Cassirer,Q42601013,ALIU Detailed Interrogation Report (DIR) No. 6 Bruno Lohse August 1945,5,1
Q160236,Metropolitan Museum of Art,Q42601013,ALIU Detailed Interrogation Report (DIR) No. 6 Bruno Lohse August 1945,5,1
Q1634926,Hugo Cassirer,Q107177051,Walter Feilchenfeldt Jr.,5,1
Q29441758,Margarete Mauthner,Q26221149,Wheat Field with Sheaves,1,1
Q160236,Metropolitan Museum of Art,Q19794158,WikiProject Open Access,3,0
Q1201549,Detroit Institute of Arts,Q19794158,WikiProject Open Access,3,0
Q1634926,Hugo Cassirer,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,5,0
Q21948567,Sunflowers,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,5,0
Q17277888,Gottlieb Friedrich Reber,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,2,0
Q29441758,Margarete Mauthner,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,5,0
Q26221184,Olive Picking,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q160236,Metropolitan Museum of Art,Q537720,Accor Arena,5,0
Q26221201,Two Diggers among Trees,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,4,0
Q214867,National Gallery of Art,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q74128,Alfred Flechtheim,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q160236,Metropolitan Museum of Art,Q98970039,WikiProject PCC Wikidata Pilot/University of Washington,4,0
Q17277888,Gottlieb Friedrich Reber,Q20080422,Woman with a glass of wine and a child in a garden,2,1
Q1634926,Hugo Cassirer,Q113262,Young man in Mayo costume,5,0
Q214867,National Gallery of Art,Q113262,Young man in Mayo costume,5,0
Q160236,Metropolitan Museum of Art,Q26772533,Young Woman in blue Gown with Feather,5,0
Q104530765,Hugo Nathan,Q66362718,1001 Paintings You Must See Before You Die,4,0
Q21948567,Sunflowers,Q66362718,1001 Paintings You Must See Before You Die,1,0
Q26221201,Two Diggers among Trees,Q66362718,1001 Paintings You Must See Before You Die,5,0
Q74128,Alfred Flechtheim,Q66362718,1001 Paintings You Must See Before You Die,4,0
Q657415,Cleveland Museum of Art,Q139464,Zachary,3,0
Q1634926,Hugo Cassirer,Q56816048,Zur Übernahme des Auktionshauses Paul Graupe durch Hans W. Lange,5,1
Q104530765,Hugo Nathan,Q107750647,Zürcher Kunstgesellschaft,5,1
Q160236,Metropolitan Museum of Art,Q107750647,Zürcher Kunstgesellschaft,5,1
Q160236,Metropolitan Museum of Art,Q56816048,Zur Übernahme des Auktionshauses Paul Graupe durch Hans W. Lange,5,1
Q160236,Metropolitan Museum of Art,Q350979,zoologist,4,0
Q156426,Alexej von Jawlensky,Q4091878,Yuzhakov Big Encyclopedia,5,0
Q867510,Cypresses,Q4091878,Yuzhakov Big Encyclopedia,4,0
Q324935,Ferenc Hatvany,Q4091878,Yuzhakov Big Encyclopedia,4,0
Q160236,Metropolitan Museum of Art,Q4091878,Yuzhakov Big Encyclopedia,4,0
Q74128,Alfred Flechtheim,Q21711845,Young Woman with a lighted Candle at a Window,5,1
Q160236,Metropolitan Museum of Art,Q26718316,Young Woman in Green Dress,5,0
Q160236,Metropolitan Museum of Art,Q113262,Young man in Mayo costume,1,0
Q17277888,Gottlieb Friedrich Reber,Q1568434,Yale University Art Gallery,4,1
Q55680361,Oskar Reichel,Q1568434,Yale University Art Gallery,4,1
Q160236,Metropolitan Museum of Art,Q1568434,Yale University Art Gallery,5,1
Q74128,Alfred Flechtheim,Q1568434,Yale University Art Gallery,4,1
Q160236,Metropolitan Museum of Art,Q1437754,xylographer,5,0
Q160236,Metropolitan Museum of Art,Q926842,Xiuhcoatl,2,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q36180,writer,2,0
Q160236,Metropolitan Museum of Art,Q36180,writer,3,0
Q214867,National Gallery of Art,Q36180,writer,4,0
Q74128,Alfred Flechtheim,Q36180,writer,3,0
Q657415,Cleveland Museum of Art,Q36180,writer,3,0
Q21948567,Sunflowers,Q28692502,women's rights activist,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q28692502,women's rights activist,5,0
Q160236,Metropolitan Museum of Art,Q28692502,women's rights activist,3,0
Q160236,Metropolitan Museum of Art,Q19913634,Woman with a Towel,3,0
Q1634926,Hugo Cassirer,Q8030760,Woman with a Parrot,5,0
Q160236,Metropolitan Museum of Art,Q8030760,Woman with a Parrot,1,0
Q214867,National Gallery of Art,Q8030760,Woman with a Parrot,5,0
Q1634926,Hugo Cassirer,Q20080422,Woman with a glass of wine and a child in a garden,5,1
Q160236,Metropolitan Museum of Art,Q20080422,Woman with a glass of wine and a child in a garden,5,1
Q214867,National Gallery of Art,Q20080422,Woman with a glass of wine and a child in a garden,4,1
Q867510,Cypresses,Q20539215,Woman Sewing before a Garden Window,4,1
Q104530765,Hugo Nathan,Q20539215,Woman Sewing before a Garden Window,3,1
Q29441758,Margarete Mauthner,Q20539215,Woman Sewing before a Garden Window,5,1
Q160236,Metropolitan Museum of Art,Q20539215,Woman Sewing before a Garden Window,3,1
Q26221201,Two Diggers among Trees,Q20539215,Woman Sewing before a Garden Window,4,1
Q867510,Cypresses,Q60469188,Woman Reading,4,1
Q104530765,Hugo Nathan,Q60469188,Woman Reading,3,1
Q29441758,Margarete Mauthner,Q60469188,Woman Reading,5,1
Q160236,Metropolitan Museum of Art,Q60469188,Woman Reading,3,1
Q26221201,Two Diggers among Trees,Q60469188,Woman Reading,4,1
Q1634926,Hugo Cassirer,Q22965268,Woman Playing a Guitar,5,1
Q160236,Metropolitan Museum of Art,Q22965268,Woman Playing a Guitar,3,1
Q214867,National Gallery of Art,Q22965268,Woman Playing a Guitar,5,1
Q160236,Metropolitan Museum of Art,Q19913374,Woman on a Sofa,3,1
Q160236,Metropolitan Museum of Art,Q19905240,Woman in a Riding Habit (L'Amazone),3,1
Q160236,Metropolitan Museum of Art,Q19912688,Woman Having Her Hair Combed,3,1
Q160236,Metropolitan Museum of Art,Q19913641,Woman Drying Her Foot,3,1
Q160236,Metropolitan Museum of Art,Q19913763,Woman Drying Her Arm,3,1
Q160236,Metropolitan Museum of Art,Q19912683,Woman Bathing in a Shallow Tub,3,1
Q160236,Metropolitan Museum of Art,Q6126670,Woman and a maid with a pail of fish in a courtyard,5,1
Q160236,Metropolitan Museum of Art,Q467,woman,4,0
Q160236,Metropolitan Museum of Art,Q61214,"Wolfgang William, Count Palatine of Neuburg",2,0
Q160236,Metropolitan Museum of Art,Q75770,Count Palatine Wolfgang George Frederick of Neuburg,3,0
Q160236,Metropolitan Museum of Art,Q63775,"Wolfgang, Count Palatine of Zweibrücken",3,0
Q867510,Cypresses,Q104918094,Wolf Dietrich Freiherr von Amstetter-Zwerbach und Grabeneck,5,0
Q160236,Metropolitan Museum of Art,Q100740509,Wodehouse family,2,0
Q160236,Metropolitan Museum of Art,Q54054,Władysław IV Vasa,5,0
Q160236,Metropolitan Museum of Art,Q8026087,Winston Frederick Churchill Guest,5,0
Q160236,Metropolitan Museum of Art,Q8016,Winston Churchill,4,0
Q104530765,Hugo Nathan,Q20735394,Wineglass and a Bowl of Fruit,5,1
Q160236,Metropolitan Museum of Art,Q20735394,Wineglass and a Bowl of Fruit,5,1
Q160236,Metropolitan Museum of Art,Q16197448,William Williams-Hope,2,0
Q160236,Metropolitan Museum of Art,Q1274863,William Burrell,5,1
Q867510,Cypresses,Q61294807,William Buchanan,5,0
Q104530765,Hugo Nathan,Q61294807,William Buchanan,4,0
Q160236,Metropolitan Museum of Art,Q61294807,William Buchanan,4,0
Q26221201,Two Diggers among Trees,Q61294807,William Buchanan,5,0
Q160236,Metropolitan Museum of Art,Q3049525,William Bonaparte-Wyse,4,0
Q1634926,Hugo Cassirer,Q40457263,William A. M. Burden,2,1
Q74128,Alfred Flechtheim,Q19754135,Willem Steenhoff,2,1
Q214867,National Gallery of Art,Q18325075,Wilhelm von Gutmann,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q69574,Wilhelm Uhde,3,1
Q74128,Alfred Flechtheim,Q69574,Wilhelm Uhde,2,1
Q160236,Metropolitan Museum of Art,Q150652,Wilhelm I of Germany,5,0
Q657415,Cleveland Museum of Art,Q76371779,Wilfred Alexander von Thyssen-Bornemisza,5,1
Q867510,Cypresses,Q3568152,Wildenstein Institute,5,1
Q104530765,Hugo Nathan,Q3568152,Wildenstein Institute,4,1
Q160236,Metropolitan Museum of Art,Q3568152,Wildenstein Institute,4,1
Q26221201,Two Diggers among Trees,Q3568152,Wildenstein Institute,5,1
Q1634926,Hugo Cassirer,Q10288082,Wildenstein & Company,5,1
Q867510,Cypresses,Q10288082,Wildenstein & Company,3,1
Q104530765,Hugo Nathan,Q10288082,Wildenstein & Company,2,1
Q29441758,Margarete Mauthner,Q10288082,Wildenstein & Company,4,1
Q160236,Metropolitan Museum of Art,Q10288082,Wildenstein & Company,2,1
Q26221201,Two Diggers among Trees,Q10288082,Wildenstein & Company,3,1
Q55680361,Oskar Reichel,Q28002707,Wildbad Gastein in the evening (with Bengal lights),1,1
Q74128,Alfred Flechtheim,Q98801351,WikiProject Provenance,1,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q98970039,WikiProject PCC Wikidata Pilot/University of Washington,3,0
Q214867,National Gallery of Art,Q98970039,WikiProject PCC Wikidata Pilot/University of Washington,5,0
Q74128,Alfred Flechtheim,Q98970039,WikiProject PCC Wikidata Pilot/University of Washington,4,0
Q657415,Cleveland Museum of Art,Q98970039,WikiProject PCC Wikidata Pilot/University of Washington,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q102024112,WikiProject PCC Wikidata Pilot/New Mexico State Library,5,0
Q74128,Alfred Flechtheim,Q102024112,WikiProject PCC Wikidata Pilot/New Mexico State Library,4,0
Q160236,Metropolitan Museum of Art,Q105936481,WikiProject PCC Wikidata Pilot/Harry Ransom Center,5,0
Q156426,Alexej von Jawlensky,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,1,0
Q1634926,Hugo Cassirer,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q867510,Cypresses,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,2,0
Q104530765,Hugo Nathan,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,2,0
Q29441758,Margarete Mauthner,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,5,0
Q55680361,Oskar Reichel,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q160236,Metropolitan Museum of Art,Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,3,0
Q17277888,Gottlieb Friedrich Reber,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,5,0
Q55680361,Oskar Reichel,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,5,0
Q160236,Metropolitan Museum of Art,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,3,0
Q214867,National Gallery of Art,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,5,0
Q74128,Alfred Flechtheim,Q105757729,WikiProject PCC Wikidata Pilot — Smithsonian Libraries — Artists Files,5,0
Q1634926,Hugo Cassirer,Q100137722,Wikiproject Nuremberg Trials,5,1
Q17277888,Gottlieb Friedrich Reber,Q100137722,Wikiproject Nuremberg Trials,2,1
Q160236,Metropolitan Museum of Art,Q100137722,Wikiproject Nuremberg Trials,5,1
Q214867,National Gallery of Art,Q100137722,Wikiproject Nuremberg Trials,4,1
Q74128,Alfred Flechtheim,Q100137722,Wikiproject Nuremberg Trials,5,1
Q160236,Metropolitan Museum of Art,Q15092984,WikiProject about LGBT-related content,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q13382529,WikiProject about human rights,3,0
Q17277888,Gottlieb Friedrich Reber,Q13382529,WikiProject about human rights,4,0
Q21948567,Sunflowers,Q110249806,WikiProject Craft,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q110249806,WikiProject Craft,5,0
Q160236,Metropolitan Museum of Art,Q110249806,WikiProject Craft,3,0
Q74128,Alfred Flechtheim,Q110249806,WikiProject Craft,4,0
Q1201549,Detroit Institute of Arts,Q87748614,WikiProject COVID-19,3,0
Q160236,Metropolitan Museum of Art,Q109691972,WikiProject Applied arts/Drinking vessels,2,0
Q160236,Metropolitan Museum of Art,Q99484628,"WikiProject Alba amicorum of the KB, national library of the Netherlands",3,0
Q160236,Metropolitan Museum of Art,Q106447762,"Wikidata:Gruppo Wikidata per Musei, Archivi e Biblioteche/Riviste italiane di biblioteconomia",4,0
Q160236,Metropolitan Museum of Art,Q97285685,Wiki99/LGBT+,5,0
Q17277888,Gottlieb Friedrich Reber,Q96971115,Whereabouts of paintings 1933,4,1
Q55680361,Oskar Reichel,Q96971115,Whereabouts of paintings 1933,4,1
Q74128,Alfred Flechtheim,Q96971115,Whereabouts of paintings 1933,4,1
Q1634926,Hugo Cassirer,Q26221228,Wheat Fields after the Rain,5,1
Q867510,Cypresses,Q26221228,Wheat Fields after the Rain,5,1
Q160236,Metropolitan Museum of Art,Q26221228,Wheat Fields after the Rain,3,1
Q867510,Cypresses,Q1798475,Westphalian State Museum of Art and Cultural History,5,1
Q160236,Metropolitan Museum of Art,Q66717484,Werner H. Kramarsky,5,1
Q160236,Metropolitan Museum of Art,Q78749849,Weislingen Captured by Götz’s Men,5,1
Q160236,Metropolitan Museum of Art,Q300849,Weilbachs Kunstnerleksikon,3,0
Q21948567,Sunflowers,Q20630408,Weaver,3,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q20630408,Weaver,3,1
Q160236,Metropolitan Museum of Art,Q20630408,Weaver,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q42882613,"Waterloo Bridge, London",2,1
